TIME,Value
2012W42,"16,775"
2012W43,"16,356"
2012W44,"17,02"
2012W45,"16,844"
2012W46,"16,774"
2012W47,"16,919"
2012W48,"17,074"
2012W49,"17,403"
2012W50,"18,104"
2012W51,"17,986"
2012W52,"17,835"
2013W01,"18,243"
2013W02,"17,933"
2013W03,"18,251"
2013W04,"18,861"
2013W05,"19,98"
2013W06,"20,026"
2013W07,"20,373"
2013W08,"20,776"
2013W09,"21,25"
2013W10,"21,172"
2013W11,"20,197"
2013W12,"19,789"
2013W13,"19,32"
2013W14,"19,293"
2013W15,"19,39"
2013W16,"18,064"
2013W17,"17,101"
2013W18,"16,408"
2013W19,"16,37"
2013W20,"16,083"
2013W21,"15,601"
2013W22,"16,351"
2013W23,"16,198"
2013W24,"15,888"
2013W25,"17,153"
2013W26,"14,87"
2013W27,"15,614"
2013W28,"15,238"
2013W29,"15,856"
2013W30,"16,853"
2013W31,"16,077"
2013W32,"15,263"
2013W33,"15,226"
2013W34,"15,182"
2013W35,"15,176"
2013W36,"15,631"
2013W37,"14,68"
2013W38,"15,312"
2013W39,"15,719"
2013W40,"15,894"
2013W41,"15,939"
2013W42,"16,238"
2013W43,"16,754"
2013W44,"15,95"
2013W45,"16,227"
2013W46,"16,185"
2013W47,"16,72"
2013W48,"16,527"
2013W49,"17,198"
2013W50,"17,036"
2013W51,"17,306"
2013W52,"17,08"
2014W01,"16,785"
2014W02,"17,21"
2014W03,"16,814"
2014W04,"16,825"
2014W05,"17,366"
2014W06,"17,534"
2014W07,"17,422"
2014W08,"17,211"
2014W09,"17,345"
2014W10,"17,449"
2014W11,"17,491"
2014W12,"17,579"
2014W13,"17,418"
2014W14,"17,541"
2014W15,"16,746"
2014W16,"16,54"
2014W17,"16,55"
2014W18,"15,803"
2014W19,"16,074"
2014W20,"15,763"
2014W21,"16,453"
2014W22,"15,211"
2014W23,"16,215"
2014W24,"16,176"
2014W25,"15,268"
2014W26,"15,583"
2014W27,"16,029"
2014W28,"15,845"
2014W29,"16,631"
2014W30,"16,37"
2014W31,"15,793"
2014W32,"15,435"
2014W33,"15,011"
2014W34,"15,526"
2014W35,"15,938"
2014W36,"16,26"
2014W37,"15,84"
2014W38,"16,075"
2014W39,"15,692"
2014W40,"16,115"
2014W41,"16,412"
2014W42,"16,424"
2014W43,"16,415"
2014W44,"16,75"
2014W45,"17,013"
2014W46,"17,288"
2014W47,"17,062"
2014W48,"17,499"
2014W49,"17,964"
2014W50,"18,635"
2014W51,"18,378"
2014W52,"18,139"
2015W01,"18,713"
2015W02,"19,283"
2015W03,"19,5"
2015W04,"19,346"
2015W05,"20,716"
2015W06,"20,905"
2015W07,"22,395"
2015W08,"23,264"
2015W09,"23,598"
2015W10,"22,002"
2015W11,"20,77"
2015W12,"20,009"
2015W13,"19,106"
2015W14,"18,668"
2015W15,"18,089"
2015W16,"18,116"
2015W17,"17,668"
2015W18,"17,114"
2015W19,"17,072"
2015W20,"16,732"
2015W21,"16,33"
2015W22,"16,2"
2015W23,"16,777"
2015W24,"16,272"
2015W25,"15,619"
2015W26,"16,152"
2015W27,"19,252"
2015W28,"17,361"
2015W29,"16,447"
2015W30,"16,272"
2015W31,"15,432"
2015W32,"16,651"
2015W33,"16,881"
2015W34,"15,233"
2015W35,"16,117"
2015W36,"15,654"
2015W37,"15,952"
2015W38,"16,034"
2015W39,"15,667"
2015W40,"16,429"
2015W41,"16,776"
2015W42,"16,848"
2015W43,"17,341"
2015W44,"16,795"
2015W45,"17,024"
2015W46,"16,618"
2015W47,"16,849"
2015W48,"16,802"
2015W49,"17,009"
2015W50,"17,054"
2015W51,"17,408"
